main_character,character,line_no,line_type,word,main_character_word
TRUE,Nate,33,lines,eh,FALSE
TRUE,Nate,33,lines,excuse,FALSE
TRUE,Chuck,35,lines,nathaniel,FALSE
TRUE,Chuck,35,lines,fresh,FALSE
TRUE,Chuck,35,lines,air,FALSE
TRUE,Blair,41,lines,wanna,FALSE
TRUE,Nate,42,lines,wait,FALSE
TRUE,Blair,43,lines,anymore,FALSE
TRUE,Gossip Girl,44,voice over,lock,FALSE
TRUE,Gossip Girl,44,voice over,nate,TRUE
TRUE,Gossip Girl,44,voice over,blair,TRUE
TRUE,Gossip Girl,44,voice over,clock,FALSE
TRUE,Gossip Girl,44,voice over,ticking,FALSE
FALSE,Katy,46,lines,god,FALSE
FALSE,Katy,46,lines,gossip girl,TRUE
FALSE,Isabel,47,lines,serena,TRUE
FALSE,Isabel,47,lines,train,FALSE
FALSE,Isabel,47,lines,grand,FALSE
FALSE,Isabel,47,lines,central,FALSE
TRUE,Chuck,48,lines,dull,FALSE
TRUE,Blair,52,lines,love,FALSE
TRUE,Blair,52,lines,nate,TRUE
TRUE,Blair,52,lines,archibald,FALSE
TRUE,Nate,53,lines,love,FALSE
FALSE,Eleanor,55,lines,serena,TRUE
FALSE,Eleanor,55,lines,van,FALSE
FALSE,Eleanor,55,lines,der,FALSE
FALSE,Eleanor,55,lines,woodsen,FALSE
FALSE,Eleanor,57,lines,blair,TRUE
FALSE,Eleanor,57,lines,serena,TRUE
TRUE,Nate,58,lines,serena,TRUE
TRUE,Blair,59,lines,serena,TRUE
TRUE,Blair,59,lines,school,FALSE
TRUE,Blair,59,lines,kiss,FALSE
TRUE,Nate,60,lines,heard,FALSE
TRUE,Nate,60,lines,mom,FALSE
TRUE,Nate,60,lines,wanna,FALSE
TRUE,Nate,60,lines,hey,FALSE
TRUE,Blair,62,lines,yeah,FALSE
TRUE,Blair,62,lines,totally,FALSE
FALSE,Party Guests,64,lines,heard,FALSE
FALSE,Party Guests,64,lines,pregnant,FALSE
FALSE,Party Guests,64,lines,rehab,FALSE
TRUE,Lily,66,lines,told,FALSE
TRUE,Lily,66,lines,forget,FALSE
TRUE,Lily,66,lines,care,FALSE
TRUE,Lily,66,lines,mahogany,FALSE
TRUE,Lily,66,lines,clashes,FALSE
TRUE,Lily,66,lines,sofa,FALSE
TRUE,Serena,67,lines,mom,FALSE
TRUE,Serena,67,lines,mom,FALSE
TRUE,Serena,67,lines,hey,FALSE
TRUE,Lily,68,lines,serena,TRUE
TRUE,Lily,68,lines,darling,FALSE
TRUE,Lily,71,lines,discuss,FALSE
TRUE,Lily,71,lines,friends,FALSE
TRUE,Blair,74,lines,serena,TRUE
TRUE,Blair,76,lines,dinner,FALSE
FALSE,Eleanor,77,lines,set,FALSE
FALSE,Eleanor,77,lines,table,FALSE
FALSE,Eleanor,77,lines,blair,TRUE
TRUE,Serena,78,lines,yeah,FALSE
TRUE,Blair,79,lines,leaving,FALSE
TRUE,Serena,80,lines,yeah,FALSE
TRUE,Serena,80,lines,feel,FALSE
TRUE,Serena,80,lines,school,FALSE
TRUE,Serena,80,lines,tomorrow,FALSE
TRUE,Blair,82,lines,school,FALSE
TRUE,Blair,82,lines,guess,FALSE
FALSE,Katy,83,lines,coming,FALSE
TRUE,Blair,84,lines,surprise,FALSE
TRUE,Gossip Girl,85,voice over,word,FALSE
TRUE,Gossip Girl,85,voice over,serena,TRUE
TRUE,Gossip Girl,85,voice over,bailed,FALSE
TRUE,Gossip Girl,85,voice over,blair,TRUE
TRUE,Gossip Girl,85,voice over,party,FALSE
TRUE,Gossip Girl,85,voice over,90,FALSE
TRUE,Gossip Girl,85,voice over,lemochello,FALSE
TRUE,Gossip Girl,85,voice over,bad,FALSE
TRUE,Gossip Girl,85,voice over,girl,FALSE
TRUE,Gossip Girl,85,voice over,act,FALSE
FALSE,Nurse,87,lines,lady,FALSE
FALSE,Nurse,87,lines,visiting,FALSE
FALSE,Nurse,87,lines,hours,FALSE
TRUE,Serena,88,lines,family,FALSE
TRUE,Serena,88,lines,brother,FALSE
TRUE,Gossip Girl,90,voice over,why'd,FALSE
TRUE,Gossip Girl,90,voice over,leave,FALSE
TRUE,Gossip Girl,90,voice over,why'd,FALSE
TRUE,Gossip Girl,90,voice over,return,FALSE
TRUE,Gossip Girl,90,voice over,send,FALSE
TRUE,Gossip Girl,90,voice over,deets,FALSE
TRUE,Gossip Girl,90,voice over,secret,FALSE
TRUE,Gossip Girl,90,voice over,love,FALSE
TRUE,Gossip Girl,90,voice over,xoxo,FALSE
TRUE,Gossip Girl,90,voice over,gossip girl,TRUE
FALSE,Erik,92,lines,serena,TRUE
FALSE,Erik,92,lines,serena,TRUE
FALSE,Erik,92,lines,hey,FALSE
TRUE,Serena,93,lines,hey,FALSE
TRUE,Serena,95,lines,erik,FALSE
TRUE,Serena,95,lines,terrible,FALSE
TRUE,Serena,95,lines,sister,FALSE
TRUE,Serena,95,lines,happy,FALSE
FALSE,Erik,96,lines,lot,FALSE
FALSE,Erik,96,lines,rumours,FALSE
TRUE,Serena,97,lines,yeah,FALSE
TRUE,Serena,97,lines,mentioned,FALSE
FALSE,Erik,98,lines,mom,FALSE
FALSE,Erik,98,lines,hm,FALSE
TRUE,Lily,100,lines,baby,FALSE
TRUE,Lily,100,lines,serena,TRUE
TRUE,Lily,100,lines,sleeping,FALSE
TRUE,Lily,100,lines,bed,FALSE
TRUE,Lily,100,lines,possibly,FALSE
TRUE,Lily,100,lines,wearing,FALSE
TRUE,Lily,100,lines,pajamas,FALSE
TRUE,Serena,101,lines,morning,FALSE
TRUE,Serena,101,lines,mom,FALSE
TRUE,Serena,101,lines,hey,FALSE
TRUE,Serena,101,lines,doctor,FALSE
TRUE,Serena,101,lines,erik,FALSE
TRUE,Serena,101,lines,breakfast,FALSE
TRUE,Serena,101,lines,wanna,FALSE
TRUE,Lily,102,lines,ehm,FALSE
TRUE,Lily,102,lines,croissant,FALSE
TRUE,Lily,102,lines,street,FALSE
FALSE,Erik,104,lines,serena,TRUE
TRUE,Serena,105,lines,guess,FALSE
TRUE,Serena,105,lines,told,FALSE
TRUE,Serena,105,lines,erik,FALSE
TRUE,Serena,105,lines,visiting,FALSE
TRUE,Serena,105,lines,grandpa,FALSE
TRUE,Serena,105,lines,rhode,FALSE
TRUE,Serena,105,lines,island,FALSE
TRUE,Lily,106,lines,aunt,FALSE
TRUE,Lily,106,lines,carol,FALSE
TRUE,Lily,106,lines,miami,FALSE
TRUE,Serena,107,lines,hiding,FALSE
TRUE,Serena,107,lines,life,FALSE
TRUE,Serena,107,lines,worried,FALSE
TRUE,Serena,107,lines,cost,FALSE
TRUE,Serena,107,lines,mom,FALSE
TRUE,Lily,108,lines,serena,TRUE
TRUE,Lily,108,lines,god,FALSE
TRUE,Serena,109,lines,told,FALSE
TRUE,Serena,109,lines,boarding,FALSE
TRUE,Serena,109,lines,school,FALSE
TRUE,Lily,110,lines,happy,FALSE
TRUE,Lily,110,lines,home,FALSE
TRUE,Lily,110,lines,idea,FALSE
TRUE,Rufus,112,lines,guess,FALSE
TRUE,Rufus,112,lines,dad,FALSE
TRUE,Rufus,112,lines,cool,FALSE
TRUE,Jenny,113,lines,trick,FALSE
TRUE,Jenny,113,lines,question,FALSE
TRUE,Dan,114,lines,yeah,FALSE
TRUE,Dan,117,lines,top,FALSE
TRUE,Dan,117,lines,10,FALSE
TRUE,Dan,117,lines,forgotten,FALSE
TRUE,Dan,117,lines,bands,FALSE
TRUE,Dan,117,lines,90s,FALSE
TRUE,Rufus,118,lines,yeah,FALSE
TRUE,Rufus,118,lines,check,FALSE
TRUE,Jenny,119,lines,proud,FALSE
TRUE,Dan,120,lines,hey,FALSE
TRUE,Dan,120,lines,hey,FALSE
TRUE,Dan,120,lines,forgotten,FALSE
TRUE,Rufus,121,lines,remembered,FALSE
TRUE,Jenny,122,lines,care,FALSE
TRUE,Jenny,122,lines,dad,FALSE
TRUE,Jenny,122,lines,band,FALSE
TRUE,Jenny,122,lines,gossip girl,TRUE
TRUE,Dan,123,lines,read,FALSE
TRUE,Dan,123,lines,gossip girl,TRUE
TRUE,Dan,123,lines,chicks,FALSE
TRUE,Jenny,124,lines,laptop,FALSE
TRUE,Jenny,124,lines,night,FALSE
TRUE,Jenny,124,lines,read,FALSE
TRUE,Jenny,124,lines,serena,TRUE
TRUE,Jenny,124,lines,van,FALSE
TRUE,Jenny,124,lines,der,FALSE
TRUE,Jenny,124,lines,woodsen,FALSE
TRUE,Dan,126,lines,holy,FALSE
TRUE,Dan,126,lines,stone,FALSE
TRUE,Dan,126,lines,wow,FALSE
TRUE,Dan,126,lines,dad,FALSE
TRUE,Dan,126,lines,cool,FALSE
TRUE,Dan,126,lines,hot,FALSE
TRUE,Rufus,127,lines,hey,FALSE
TRUE,Jenny,128,lines,called,FALSE
TRUE,Jenny,128,lines,kiss,FALSE
TRUE,Jenny,128,lines,lips,FALSE
TRUE,Jenny,128,lines,party,FALSE
TRUE,Dan,129,lines,invited,FALSE
TRUE,Dan,131,lines,offense,FALSE
TRUE,Dan,131,lines,sound,FALSE
TRUE,Dan,131,lines,surprised,FALSE
TRUE,Dan,131,lines,invited,FALSE
TRUE,Jenny,132,lines,girls,FALSE
TRUE,Jenny,132,lines,art,FALSE
TRUE,Jenny,132,lines,class,FALSE
TRUE,Jenny,132,lines,calligraphy,FALSE
TRUE,Jenny,132,lines,addressed,FALSE
TRUE,Jenny,132,lines,invitations,FALSE
TRUE,Rufus,133,lines,sounds,FALSE
TRUE,Rufus,133,lines,fair,FALSE
TRUE,Rufus,133,lines,sweatshops,FALSE
TRUE,Rufus,133,lines,learn,FALSE
TRUE,Jenny,134,lines,dad,FALSE
TRUE,Jenny,134,lines,platform,FALSE
TRUE,Jenny,134,lines,capitalization,FALSE
TRUE,Jenny,134,lines,private,FALSE
TRUE,Jenny,134,lines,schools,FALSE
TRUE,Rufus,135,lines,education,FALSE
TRUE,Jenny,136,lines,anonymous,FALSE
TRUE,Jenny,136,lines,losers,FALSE
